userid,discount,max_value
13509901,0,0
13919709,0,0
14049654,0,0
14513340,0,0
14514334,0,0
14516910,0,0
14590377,0,0
14597814,0,0
14654270,0,0
14671249,0,0
14798439,0,0
14884681,0,0
14915380,0,0
14921244,0,0
14936462,0,0
15012802,0,0
15025521,0,0
15037560,0,0
15109675,0,0
15122905,0,0
15216315,0,0
15308860,0,0
15397358,0,0
15440271,0,0
15500501,0,0
15519176,0,0
15550679,0,0
15659040,0,0
15671952,0,0
15726009,0,0
15788255,0,0
15831115,0,0
15938532,0,0
16152423,0,0
16342824,0,0
16421298,0,0
16438110,0,0
16679176,0,0
16857379,0,0
16862619,0,0
16896549,0,0
16953913,0,0
16975653,0,0
16985174,0,0
17077572,0,0
17116842,0,0
17320283,0,0
17329938,0,0
17368601,0,0
17383325,0,0
17462050,0,0
17495912,0,0
17535076,0,0
17545671,0,0
17603910,0,0
17628470,0,0
17680706,0,0
17693483,0,0
17694696,0,0
17754544,0,0
17773807,0,0
17818307,0,0
17869279,0,0
17887862,0,0
17888291,0,0
18172352,0,0
18217249,0,0
18266691,0,0
18286930,0,0
18424583,0,0
18523734,20,2.00E+06
18592451,0,0
18608997,0,0
18615602,0,0
18664725,0,0
18701642,0,0
18769132,0,0
18781891,0,0
18797341,0,0
18854922,0,0
18915343,0,0
18958847,0,0
18991923,0,0
19027552,0,0
19040682,0,0
19105683,0,0
19125205,0,0
19153145,0,0
19165097,0,0
19203219,0,0
19228360,0,0
19323357,0,0
19454418,0,0
19522968,0,0
19619669,0,0
19661872,0,0
19670695,0,0
19675546,0,0
19676964,0,0
19712753,0,0
19902477,0,0
20092482,0,0
20100268,0,0
20157545,0,0
20170494,0,0
20193101,0,0
20329536,0,0
20336957,0,0
20377856,0,0
20386504,0,0
20438585,0,0
20459058,0,0
20637496,0,0
20667887,0,0
20699577,0,0
20931115,0,0
20940936,0,0
21049119,0,0
21055677,0,0
21059674,0,0
21079377,0,0
21084477,0,0
21093972,0,0
21102179,0,0
21232270,0,0
21375393,0,0
21394655,0,0
21549780,0,0
21618948,0,0
21654589,0,0
21658365,0,0
21686385,0,0
21691085,0,0
21705920,0,0
21710969,0,0
21717758,0,0
21833700,0,0
21881330,0,0
21908674,0,0
21921613,0,0
22012613,0,0
22042512,0,0
22169354,0,0
22173438,0,0
22191144,0,0
22207452,0,0
22208621,0,0
22229577,0,0
22267840,0,0
22294670,0,0
22368994,0,0
22383242,0,0
22427549,0,0
22464284,0,0
22500844,0,0
22544038,0,0
22559244,0,0
22635229,0,0
22644233,0,0
22724550,0,0
22728822,0,0
22778968,0,0
22916760,0,0
23014803,0,0
23150663,0,0
23180060,0,0
23272120,0,0
23298998,0,0
23410505,0,0
23548313,0,0
23639213,0,0
23640911,0,0
23663295,0,0
23683394,0,0
23773031,0,0
23817893,0,0
23883637,0,0
23960101,0,0
23981767,0,0
24017834,0,0
24043738,0,0
24137897,0,0
24223442,0,0
24242767,0,0
24266090,0,0
24276490,0,0
24365631,0,0
24436597,0,0
24464078,0,0
24521876,0,0
24596756,0,0
24728066,0,0
24789672,0,0
24813084,0,0
24908759,0,0
25107805,0,0
25111134,0,0
25172494,0,0
25207858,0,0
25283944,0,0
25372193,0,0
